year,fips,county,state,urban,copd_edv,copd_hos,copd_pre,copd_prs,copd_pqi,asth_pre,toba_pre,copd_apc
2012-2014,1001,Autauga County,ALABAMA,1,-4.448105436573311,-33.333333333333336,1,0,-20.414031052328923,1,-1,-30.626450116009284
2012-2014,1003,Baldwin County,ALABAMA,0,-1.5444015444015444,-12.5,0,1,-7.547169811320755,0,0,-2.745664739884393
2012-2014,1005,Barbour County,ALABAMA,0,10.03627569528416,0,0,1,3.5331230283911674,-1,2,4.29042904290429
2012-2014,1007,Bibb County,ALABAMA,1,-2.6234567901234565,-11.11111111111111,0,-1,12.236944660950897,1,0,43.543826578699345
2012-2014,1009,Blount County,ALABAMA,1,-7.911392405063291,-61.53846153846153,0,0,-57.87211176786674,0,0,-16.96132596685083
2012-2014,1011,Bullock County,ALABAMA,0,7.854984894259818,27.272727272727273,1,0,58.883826879271076,0,0,47.75390625
2012-2014,1013,Butler County,ALABAMA,0,-17.3391494002181,-42.85714285714286,0,0,-43.33037562851227,-1,1,-21.395617070357556
2012-2014,1015,Calhoun County,ALABAMA,1,1.6282225237449117,-31.25,0,0,-30.343413634033826,0,1,-2.448453608247423
2012-2014,1017,Chambers County,ALABAMA,0,-7.478005865102639,-11.11111111111111,-1,0,-31.050531914893618,0,0,-3.9870689655172415
2012-2014,1019,Cherokee County,ALABAMA,0,1.0159651669085632,0,1,1,-25.699888017917136,0,2,29.03692976104272
2012-2014,1021,Chilton County,ALABAMA,1,-13.871951219512196,-60,0,0,-58.91259463179629,0,1,3.5783994795055305
2012-2014,1023,Choctaw County,ALABAMA,0,10.326797385620914,-14.285714285714285,0,1,-21.518987341772153,0,1,-29.131175468483814
2012-2014,1025,Clarke County,ALABAMA,0,-3.7037037037037037,-8.333333333333334,-1,0,-10.233766233766234,1,1,-11.257376305038584
2012-2014,1027,Clay County,ALABAMA,0,6.426332288401254,-43.47826086956522,-2,0,-53.85200202736949,1,1,3.700848111025443
2012-2014,1029,Cleburne County,ALABAMA,0,6.296851574212893,-7.692307692307692,-1,0,-11.367380560131796,1,1,32.992501704158144
2012-2014,1031,Coffee County,ALABAMA,0,-7.616707616707616,-33.333333333333336,0,1,-46.93303320202589,0,1,0.9715994020926756
2012-2014,1033,Colbert County,ALABAMA,1,4.634146341463415,14.285714285714285,0,0,15.67043618739903,0,0,9.71631205673759
2012-2014,1035,Conecuh County,ALABAMA,0,0.40858018386108275,-28.88888888888889,1,0,-43.81875327396543,-1,1,-20.56259904912837
2012-2014,1037,Coosa County,ALABAMA,0,1.1673151750972763,-46.15384615384615,0,0,-62.99727520435967,0,0,-16.410748560460654
2012-2014,1039,Covington County,ALABAMA,0,7.438016528925619,-9.090909090909092,0,1,-20.56737588652482,-1,2,-5.765271105010295
2012-2014,1041,Crenshaw County,ALABAMA,0,15.835777126099707,-28,0,0,-36.98826223876324,0,2,8.667004561581347
2012-2014,1043,Cullman County,ALABAMA,0,-9.049773755656108,-20,0,0,-9.403254972875226,0,1,-11.946902654867257
2012-2014,1045,Dale County,ALABAMA,0,3.9215686274509802,0,0,1,-5.733558178752109,1,2,-1.6938110749185669
2012-2014,1047,Dallas County,ALABAMA,0,3.4838709677419355,-12.5,0,0,10.96234309623431,0,1,-6.115702479338843
2012-2014,1049,DeKalb County,ALABAMA,0,-4.776119402985074,-31.57894736842105,0,0,-30.709802028005793,0,1,-7.84418356456777
2012-2014,1051,Elmore County,ALABAMA,1,-9.651898734177214,-16.666666666666668,0,0,11.293260473588342,1,1,-19.390402075226977
2012-2014,1053,Escambia County,ALABAMA,0,5.4209919261822375,0,1,0,-4.683084376261607,0,0,6.246172688303736
2012-2014,1055,Etowah County,ALABAMA,1,2.9985007496251876,-29.41176470588235,-1,0,-28.822589238145977,1,2,-12.094064949608063
2012-2014,1057,Fayette County,ALABAMA,0,2.9761904761904763,-33.333333333333336,-1,-1,-17.062562730010036,1,2,-16.479663394109398
2012-2014,1059,Franklin County,ALABAMA,0,-1.1842105263157896,-40.74074074074074,0,0,-41.070834718989026,1,0,-1.8162947586922678
2012-2014,1061,Geneva County,ALABAMA,1,-3.3962264150943398,-12.5,0,0,-30.52497883149873,-1,2,-9.619238476953907
2012-2014,1063,Greene County,ALABAMA,1,-6.9230769230769225,-43.333333333333336,-1,-1,-34.339900570797276,0,3,-19.13993655269651
2012-2014,1065,Hale County,ALABAMA,1,-0.6067961165048543,12.5,1,-1,23.68421052631579,1,1,20.58023572076156
2012-2014,1067,Henry County,ALABAMA,1,1.8425460636515913,-22.22222222222222,0,1,-29.684601113172537,0,2,1.97869101978691
2012-2014,1069,Houston County,ALABAMA,1,-1.7639077340569878,-27.272727272727273,0,0,-18.074233458848845,0,2,-8.61952861952862
2012-2014,1071,Jackson County,ALABAMA,0,-3.3434650455927053,-19.047619047619047,0,0,-25.642831983092638,0,0,-4.200230149597238
2012-2014,1073,Jefferson County,ALABAMA,1,-3.536977491961415,-33.333333333333336,0,0,-33.22615219721329,0,0,-8.51063829787234
2012-2014,1075,Lamar County,ALABAMA,0,0.4618937644341801,-12.5,-1,1,-22.674060382008626,1,3,-5.942275042444821
2012-2014,1077,Lauderdale County,ALABAMA,1,-0.46511627906976744,0,-1,0,1.7023959646910467,0,1,-4.308093994778067
